11,DESIGUAL,products_images/11.jpg,<p>Модель выполнена из хлопкового денима</p><ul><li>Резинка в поясе</li><li>На талии стяжка</li><li>Прорезные карманы</li><li>Модель с лампасами</li><li>Ширина по поясу: 39 см</li><li>Полуобхват бедер: 44 см</li><li>Высота талии: 31 см</li><li>Ширина штанины сверху: 27 см</li><li>Ширина штанины снизу: 17 см</li><li>Длина штанины: 96 см</li><li>Параметры указаны для размера: S</li></ul><ul><li>Крой: прямые</li><li>Цвет: темносиний</li></ul><p>Состав:</p><p>100% Хлопок</p><p>Инструкция по уходу:</p><ul><li>химическая чистка запрещена</li><li>машинная стирка при температуре воды 30°С</li><li>сушка в барабане запрещена</li><li>отбеливание запрещено</li><li>гладить при не высокой температуре (до 120 градусов)</li></ul>,Джинсы из коллекции Desigual типа спортивный с завышенной талией,2499,15,3
12,TALLY WEIJL,products_images/12.jpg,<p>Модель выполнена из обесцвеченного денима</p><ul><li>Прорезные карманы</li><li>Завышенная талия</li><li>Застегивается на пуговицу и молнию</li><li>Деним с декоративными пятнами</li><li>Ширина по поясу: 34.5 см</li><li>Полуобхват бедер: 53.5 см</li><li>Высота талии: 31.5 см</li><li>Ширина штанины снизу: 16.5 см</li><li>Ширина штанины сверху: 31 см</li><li>Длина: 99.5 см</li><li>Параметры указаны для размера: 38</li></ul><ul><li>Талия: высокая</li><li>Kolor jeansu: jasny niebieski</li></ul><p>Состав:</p><p>100% Хлопок</p>,Джинсы из коллекции Tally Weijl фасона slouchy с завышенной талией,719,19,3
13,HUGO,products_images/13.jpg,<ul><li>Фасон extra slim</li><li>Застегивается на пуговицы</li><li>Классические лацканы</li><li>Прорезные карманы</li><li>Модель на подкладке</li><li>Штанины со стрелкой</li></ul><ul><li>Узор: однотонные</li><li>Материал: ткань</li><li>Материал: шерстяной</li></ul><p>Состав:</p><p>Подкладка: 100% Вискоза</p><p>Основной материал: 8% Полиамид. 23% Полиэстер. 69% Новая шерсть</p>,Элегантный костюм из коллекции Hugo. Модель выполнена из ткани с шерстью,17999,9,4
14,MANGO MAN,products_images/14.jpg,<p>Фасон слим-фит</p><ul><li>Рукава с манжетами на застежке</li><li>Застегивается на пуговицы</li><li>Прорезные карманы</li><li>Внутренние прорезные карманы</li><li>Модель на подкладке</li></ul><p>Состав:</p><p>Подкладка: 55% Полиэстер. 45% Вискоза</p><p>Основной материал: 2% Эластан. 68% Полиэстер. 30% Вискоза</p><p>Подкладка рукавов: 100% Полиэстер</p>,Элегантный пиджак из коллекции Mango Man. Модель выполнена из гладкой ткани,3599,16,4
15,NIGHT DRIVER,products_images/15.jpg,<ul><li>Крой slim</li><li>Прорезные карманы</li><li>Застегивается на пуговицы</li><li>Классические лацканы</li><li>Модель на подкладке</li><li>Ширина подмышками: 54 см</li><li>Ширина в плечах: 44 см</li><li>Длина рукава: 64.5 см</li><li>Длина: 74.5 см</li><li>Параметры указаны для размера: M</li></ul><ul><li>Узор: узорные</li><li>Крой: slim</li><li>Материал: ткань</li><li>Подкладка: с подкладкой</li></ul><p>Состав:</p><p>Подкладка: 100% Полиэстер</p><p>Основной материал: 2% Эластан. 85% Полиэстер. 13% Вискоза</p>,Пиджак из коллекции Medicine. Модель выполнена из узорной ткани,2699,20,4
16,PREMIUM BY JACK&JONES,products_images/16.jpg,<ul><li>Fason super slim fit</li><li>Прорезные карманы</li><li>С плечиками</li><li>Застегивается на пуговицы</li><li>Тонкая неэластичная ткань</li><li>Классические лацканы</li><li>Модель на подкладке</li><li>Длина рукава: 62.5 см</li><li>Длина: 73.5 см</li><li>Ширина подмышками: 50 см</li><li>Ширина в плечах: 45 см</li><li>Параметры указаны для размера: 48</li></ul><ul><li>Узор: однотонные</li><li>Материал: ткань</li><li>Подкладка: с подкладкой</li><li>Материал: шерсть в составе</li></ul><p>Состав:</p><p>Подкладка: 100% Полиэстер</p><p>Основной материал: 1% Эластан. 77% Полиэстер. 22% Шерсть</p>,Повседневный пиджак из коллекции Premium by Jack&Jones. Модель выполнена из гладкой ткани,2399,14,4
17,GUESS JEANS BROWN,products_images/17.jpg,<ul><li>Мягкая модель</li><li>Облегающая модель</li><li>Круглый вырез</li><li>Модель с принтом</li><li>Отделка в виде стяжки</li><li>Ширина подмышками: 53 см</li><li>Длина рукава: 66 см</li><li>Длина: 66.5 см</li><li>Параметры указаны для размера: M</li></ul><ul><li>Узор: принт</li><li>Материал: с эластаном</li><li>Капюшон: без капюшона</li></ul><p><Состав:/p><p>95% Хлопок. 5% Эластан</p>,""Кофта из коллекции Guess Jeans. Модель выполнена из толстого и очень эластичного трикотажа"",1749,26,5
18,GUESS JEANS WHITE,products_images/18.jpg,<ul><li>Мягкая модель</li><li>Облегающая модель</li><li>Круглый вырез</li><li>Модель с принтом</li><li>Отделка в виде стяжки</li><li>Ширина подмышками: 53 см</li><li>Длина рукава: 66 см</li><li>Длина: 66.5 см</li><li>Параметры указаны для размера: M</li></ul><ul><li>Узор: принт</li><li>Материал: с эластаном</li><li>Капюшон: без капюшона</li></ul><p>Состав:</p><p>95% Хлопок. 5% Эластан</p>,Кофта из коллекции Guess Jeans. Модель выполнена из толстого и очень эластичного трикотажа,1749,17,5
19,KAPPA RED,products_images/19.jpg,<ul><li>Мягкая модель</li><li>Прямой фасон</li><li>Капюшон со стяжкой</li><li>Эластичный трикотаж</li><li>Декоративная кайма</li><li>Отделка в виде стяжки</li><li>Длина рукава (от капюшона): 78 см</li><li>Длина: 69 см</li><li>Ширина подмышками: 58 см</li><li>Параметры указаны для размера: M</li></ul><ul><li>Узор: аппликация</li><li>Капюшон: с капюшоном</li></ul><p>Состав:</p><p>80% Хлопок. 20% Полиэстер</p>,Кофта с капюшоном из коллекции Kappa. Модель выполнена из тонкого и легко эластичного трикотажа,1499,19,5
20,KAPPA GREEN,products_images/20.jpg,<ul><li>Мягкая модель</li><li>Прямой фасон</li><li>Капюшон со стяжкой</li><li>Эластичный трикотаж</li><li>Декоративная кайма</li><li>Отделка в виде стяжки</li><li>Длина рукава (от капюшона): 78 см</li><li>Длина: 69 см</li><li>Ширина подмышками: 58 см</li><li>Параметры указаны для размера: M</li></ul><ul><li>Узор: аппликация</li><li>Капюшон: с капюшоном</li></ul><p>Состав:</p><p>80% Хлопок. 20% Полиэстер</p>,Кофта с капюшоном из коллекции Kappa. Модель выполнена из тонкого и легкого эластичного трикотажа,1499,28,5
21,KAPPA - БРЮКИ,products_images/21.jpg,<ul><li>Прямой фасон</li><li>Мягкая модель</li><li>Резинка в поясе</li><li>Штанины на резинках</li><li>На талии стяжка</li><li>Прорезные карманы</li><li>Ширина по поясу: 38 см</li><li>Полуобхват бедер: 43 см</li><li>Высота талии: 31 см</li><li>Ширина штанины снизу: 15 см</li><li>Ширина штанины сверху: 31 см</li><li>Длина штанины: 104 см</li><li>Параметры указаны для размера: M</li></ul><ul><li>Узор: меланж</li><li>Материал: трикотаж</li></ul><p>Состав:</p><p>75% Хлопок. 23% Полиэстер. 2% Вискоза</p>,Брюки из коллекции Kappa. Модель выполнена из гладкого трикотажа,719,32,6
22,ADIDAS ORIGINALS,products_images/22.jpg,<ul><li>Прямой фасон</li><li>Карманы с застежкой</li><li>Резинка в поясе</li><li>Талия со внутренней регулировкой ширины</li><li>Тонкая неэластичная ткань</li><li>Ширина по поясу: 39.5 см</li><li>Полуобхват бедер: 53 см</li><li>Высота талии: 27 см</li><li>Ширина штанины снизу: 13.5 см</li><li>Ширина штанины сверху: 33.5 см</li><li>Длина: 99 см</li><li>Параметры указаны для размера: M</li></ul><ul><li>Узор: однотонные</li><li>Материал: ткань</li></ul><p>Состав:</p><p>100% Нейлон</p>,Брюки из коллекции adidas Originals. Модель выполнена из гладкой ткани,1899,36,6
23,BRAVE SOUL,products_images/23.jpg,<ul><li>Резинка в поясе</li><li>Прорезные карманы</li><li>На талии стяжка</li><li>Штанины на резинках</li><li>Ширина по поясу: 41 см</li><li>Полуобхват бедер: 53 см</li><li>Высота талии: 30 см</li><li>Ширина штанины снизу: 12 см</li><li>Ширина штанины сверху: 28 см</li><li>Длина: 113 см</li><li>Параметры указаны для размера: M</li></ul><ul><li>Узор: однотонные</li><li>Материал: трикотаж</li></ul><p>Состав:</p><p>80% Хлопок. 20% Полиэстер</p>,Брюки из коллекции Brave Soul. Модель выполнена из гладкого трикотажа,429,24,6
24,PRODUKT BY JACK & JONES,products_images/24.jpg,<ul><li>Мягкая модель</li><li>Облегающая модель</li><li>Прорезные карманы</li><li>Заниженная линия сидения</li><li>Резинка в поясе</li><li>На талии стяжка</li><li>Тонкий трикотаж</li><li>Ширина по поясу: 39.5 см</li><li>Полуобхват бедер: 52 см</li><li>Высота талии: 28 см</li><li>Ширина штанины снизу: 12 см</li><li>Ширина штанины сверху: 30 см</li><li>Длина: 103 см</li><li>Параметры указаны для размера: M</li></ul><ul><li>Узор: однотонные</li><li>Материал: трикотаж</li></ul><p>Состав:</p><p>85% Хлопок. 15% Вискоза</p>,Брюки из коллекции Produkt by Jack & Jones. Модель выполнена из гладкого трикотажа,719,18,6
